Model,C2d-avg,C2d-med,C2d-stdev,d4-avg,d4-med,d4-stdev,d4-avg,d4-med,d4-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev,Index
CDL/am31_sim.dimacs,5.25172988338396,5.08802424510941,0.833208034701351,2.86452335658483,2.86677760002203,0.049222345508326,1.93273421034217,1.93762182909995,0.017573528621222,10.3997004192416,10.4779752616305,0.618026813303061,1
CDL/ea2468.dimacs,7.15464048581198,6.72782209538855,1.74839470972516,8.19424897833727,8.17887705308385,0.127744584124266,16.4334889015183,16.4302522866055,0.044794890699895,34.987242317833,35.0334197906777,0.156615483600925,2
CDL/p2106.dimacs,5.67549043441191,5.58154147630557,0.827152094208654,6.88957141794264,6.89746275916696,0.086825370030189,5.36601298354566,5.36489986255765,0.011958692665319,17.0198834281135,17.0235053205397,0.089756132079053,3
KConfig/axTLS.dimacs,0.460176367787644,0.459712672512978,0.007965188963829,0.02048835487105,0.021505254786462,0.003241219541291,0.038237085342407,0.039394270628691,0.00424182355387,0.014767410131171,0.015077304560691,0.005071674502563,4
KConfig/busybox-1.18.0.dimacs,2.22897216368467,2.22839489206672,0.154213048235285,0.034634724138305,0.03537083719857,0.003968792879368,0.047949644215405,0.047296731732786,0.002341497270429,0.042645682264119,0.04194594733417,0.003700596361472,5
KConfig/embtoolkit.dimacs,8.85213735320605,8.78940023900941,0.525663636110099,0.100745927141979,0.100042416481301,0.002295854346075,0.101698973588645,0.105710862204432,0.010997991010325,0.128933391608298,0.124405780807138,0.014963207941638,6
KConfig/linux-2.6.33.3.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,1625.00563014311,1629.16122896783,44.9878146022951,7
KConfig/uClibc.dimacs,1.5583281384781,1.55268931784667,0.123216508429911,0.039111950574443,0.039104847004637,0.004918698308434,0.063418677039445,0.066728974692524,0.00584474922308,0.047275227727369,0.037850460968912,0.010409272899445,8
KConfig/uClinux-base.dimacs,2.00467007744126,2.03524415800348,0.266125556186461,0.081213639909402,0.086131764343008,0.009344369430189,0.110732843503356,0.1110386159271,0.00667568219698,0.045985166653991,0.038849085103721,0.000981313305685,9
KConfig/uClinux-distribution.dimacs,5.25936735986732,5.26918737590313,0.043255480210236,0.039721693554893,0.040605871006847,0.004242153165912,0.06647408220917,0.067489545792341,0.002255921219081,0.072615876784548,0.06805422459729,0.011780681300606,10
Smarch/2.6.28.6-icse11.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,551.456899192035,550.916624730919,2.32744622006343,11
Smarch/2.6.32-2var.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,506.246776809767,506.347887504613,18.4964047794668,12
Smarch/2.6.33.3-2var.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,694.07674023753,693.778869817965,0.971838225585829,13
