Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,D4query-avg,D4query-med,D4query-stdev,Ddknnifec2d-avg,Ddknnifec2d-med,Ddknnifec2d-stdev,Queryc2d-avg,Queryc2d-med,Queryc2d-stdev,Ddknnifedsharp-avg,Ddknnifedsharp-med,Ddknnifedsharp-stdev,Ddnnifed4-avg,Ddnnifed4-med,Ddnnifed4-stdev,Queryd4-avg,Queryd4-med,Queryd4-stdev
1,cnf/Smarch/LLVM.dimacs,11,0.743679059902206,0.737961279461161,0.015956361257315,0.064572123028338,0.064359887503088,0.002106252122648,0.070314051883761,0.070849901996553,0.003991786372489,0.036691916100681,0.035863589495421,0.002027785880006,1800,1800,0,1800,1800,0,0.028390966802836,0.025695767952129,0.013156805945839,0.041172265671194,0.040654195472598,0.002519157881802,0.019971947772429,0.019350037444383,0.002023735708446
2,cnf/Smarch/X264.dimacs,16,1.16735722219106,1.11871296633035,0.104485329004147,0.099416173435748,0.098608167842031,0.003727991508791,0.107437972235493,0.107754049706273,0.005837350740918,0.037658384777606,0.037194659933448,0.002301909021745,0.039316455470398,0.039489168906585,0.004825577857395,0.03990639552474,0.039946033852175,0.004805518130191,0.025808663489297,0.021100491518155,0.01108182490069,0.04068149458617,0.039842954836786,0.002115694194965,0.021314061777666,0.021163345547393,0.002341750156698
3,cnf/Smarch/Dune.dimacs,17,1.19916424320545,1.18784021690954,0.036039746872171,0.105388070950285,0.104950713692233,0.002876981095465,0.109758336339146,0.107671588193626,0.00731622274074,0.036542166210711,0.035532366484404,0.002493492920217,0.057799629950896,0.057824185350909,0.007492187619543,0.058893398446962,0.059277595020831,0.007521659620767,0.029605981279165,0.025949518429116,0.013347097263537,0.041397457458079,0.040481760166585,0.002141331790366,0.021764119304717,0.021151225781068,0.002211208334817
4,cnf/Smarch/BerkeleyDBC.dimacs,18,1.26362628764473,1.25900747638661,0.02525733168827,0.110459556030109,0.110202544601634,0.003107253400514,0.117783927805722,0.118358021427412,0.006621552653067,0.035466372966766,0.034905233420432,0.00177617825886,0.072202396448702,0.070705480640754,0.007303181115655,0.072790873004124,0.071346752578393,0.007244811236078,0.025781268449501,0.024710988160223,0.008282675045533,0.041349291689694,0.040210442617536,0.002344688353078,0.021230682097376,0.0210309936665,0.003126388450302
5,cnf/Smarch/lrzip.dimacs,20,1.54833337691147,1.50681742688175,0.140600034040926,0.125402507055551,0.124928620876745,0.003473271890842,0.132534406858031,0.131886720424518,0.005823656680904,0.032952774502337,0.031142792664468,0.00432750908937,0.065059674419463,0.063888753764331,0.007313874766387,0.066123440396041,0.065434063319117,0.007375593312317,0.104014479359612,0.035250492626802,0.42825612876476,0.03893900860101,0.039018360897899,0.004768866340514,0.022752724690363,0.023581911111251,0.003124580261556
6,cnf/Smarch/HiPAcc.dimacs,31,2.27097690287512,2.27273236284964,0.014825603311479,0.199582435693592,0.199409827357158,0.004196253067423,0.226942615732551,0.22697630879702,0.007236687572519,0.038741431422532,0.038313767872751,0.002235395553699,0.237391005596146,0.237135184463113,0.009675343203063,0.241261712787673,0.240619181888178,0.00985416075627,0.029633853640408,0.026781508466229,0.010674315818469,0.04376289550215,0.044466761872173,0.002742358419801,0.028057548655197,0.02759787067771,0.002627724034972
7,cnf/Smarch/JavaGC.dimacs,39,2.8718986068666,2.8718173551606,0.030012274854204,0.249821966318414,0.249283142853528,0.004111989321367,0.281545160128735,0.281290771497879,0.009605308136695,0.039020250104368,0.038544193841517,0.002193205876723,0.292380114793777,0.292641032719985,0.003872190367248,0.294689105348662,0.294877458130941,0.003968140608073,0.031523984717205,0.027559027308598,0.012653039725297,0.045181581228972,0.045394901186228,0.00178670184225,0.026780254244805,0.026445221155883,0.002215060880173
8,cnf/Smarch/Polly.dimacs,40,2.93235491697676,2.91868378035725,0.073887140970196,0.256684632832184,0.257490047486499,0.004209055092484,0.29179212995572,0.290985702187755,0.010822039274495,0.038754345066846,0.037953641265631,0.001922577798767,0.290145542621613,0.289093471132219,0.005981764925276,0.292777555435896,0.292009036289528,0.006347155276391,0.029591233329848,0.027191143250093,0.011502169074449,0.044714120551944,0.045539475977421,0.001901309950153,0.027347739310935,0.027549765305594,0.002245117115803
9,cnf/Smarch/VP9.dimacs,42,3.12874307378195,3.09993806364946,0.120338995527363,0.269844058575109,0.269263124791905,0.005415116021513,0.309737615378108,0.310393002757336,0.009840964286747,0.038757029101253,0.037926492281258,0.002018523866823,0.321048717973754,0.320161922136322,0.008232635494677,0.323746223645285,0.322479351656512,0.008331948020316,0.029247779417783,0.026421460788697,0.014606067096298,0.044376225732267,0.044895812869073,0.001978622946347,0.027322936020792,0.027042881818489,0.002526487969448
10,cnf/Smarch/7z.dimacs,44,3.34943753656,3.2545630892273,0.275464227169874,0.283301544254646,0.28322531399317,0.004720128544445,0.321022476060316,0.320446784142405,0.006730130480433,0.039197345487774,0.038519094698131,0.00223607528495,0.237835326651111,0.242994729662314,0.025344388301435,0.241577170742676,0.247072022641078,0.025335495770745,0.285837977435441,0.026582352351397,1.76117779682229,0.04235805425793,0.04284361563623,0.004284533104855,0.029158911406994,0.029590737540275,0.004307530679871
11,cnf/Smarch/JHipster.dimacs,45,3.544133218606,3.32822078722529,0.401586137492331,0.29080341687426,0.291604060446844,0.005394150314758,0.332464666254819,0.333772471873089,0.00931550084295,0.039091219976544,0.039285648614168,0.002272678293914,0.292375271497294,0.292459923541173,0.00912590407911,0.296920720506459,0.297936225542799,0.009456927168569,0.028882894711569,0.027625016868114,0.00909122531493,0.043379782103002,0.042623441666365,0.00277525355289,0.029487787587568,0.028990385122598,0.002236494997645
12,cnf/featureide_examples/berkeleydb.dimacs,76,5.79224663236179,5.69746223650873,0.353841683224264,0.519933268064633,0.52077492303215,0.010257583082394,0.559364080987871,0.560011998284608,0.012607745221037,0.036225665695965,0.035133643075824,0.004455060313562,0.414351934315637,0.413689289009198,0.012116595282664,0.432593988189474,0.432068017544225,0.012596135016741,0.024961252612993,0.024332333588973,0.003498635734962,0.047651220522821,0.047649912536145,0.002941662247853,0.045952577739954,0.046903720591217,0.004073025360657
13,cnf/Smarch/axtls_2_1_4.dimacs,94,7.25777420178056,7.10065801895689,0.520987341973928,0.668055136315525,0.665808347519488,0.012240174084976,0.722026606297586,0.720732537040021,0.011295585037991,0.042941460236907,0.042899628169835,0.002370012555739,0.535040669869631,0.533026127377525,0.009914079462545,0.558466077605262,0.557043659966439,0.009616867831227,0.0348417492304,0.027895119739697,0.013857946472805,0.045551750473678,0.045819698832929,0.004027390648406,0.048968066060916,0.048329455778003,0.004060817776719
14,cnf/KConfig/axTLS.dimacs,96,6.45486854046583,6.36425789934583,0.355480117870868,0.596072451872751,0.596467743394896,0.014624695259953,0.633840403829236,0.637813425535569,0.024211541945167,0.037692951373756,0.038048434071243,0.003980762197044,0.46455323711969,0.463908935664221,0.008098741524348,0.477948944997042,0.476867918856442,0.008737165354489,0.023579134903848,0.024171579396352,0.002921980868454,0.043413289561868,0.044524843804539,0.004302494737073,0.03523034141399,0.035400340333582,0.004010683768247
15,cnf/Smarch/fiasco_17_10.dimacs,234,20.5770392593555,20.3537347238744,1.92011461166918,1.87906578031369,1.87299983622506,0.031415739199077,2.04751527180895,2.0400858579087,0.042792377180247,0.061622900888324,0.058272353373468,0.007176161225214,1.2117212577071,1.21978508424945,0.109045736133751,1.36667922779918,1.37365018273704,0.110924229465944,0.050131774386391,0.049928278429434,0.004991537422612,0.070587663017214,0.069947412237525,0.006726814891016,0.153772654104978,0.155455630971119,0.006456047905649
16,cnf/Smarch/uClibc-ng_1_0_29.dimacs,269,30.7874320318457,32.1371242247988,2.40061029827609,2.6122414701432,2.61878950474784,0.045236602276351,2.65903696456924,2.53377754241228,0.2246423609085,0.090074268244207,0.085989256389439,0.008753909110444,0.872780046314001,0.872090317308903,0.114278197211012,1.08295782371424,1.08364206249826,0.115810997407929,0.065693327011541,0.06231072335504,0.014770950061488,0.08115772984922,0.080860039219261,0.003579098088644,0.398981604091823,0.397713338257745,0.010300336711986
17,cnf/KConfig/uClibc.dimacs,313,29.2855381514644,30.7090371914674,2.45371637143183,2.63367754707113,2.62537669250742,0.053008891051774,2.69142092530616,2.67349357088096,0.109132439063208,0.143333530165255,0.141098293475807,0.006215484196523,1.57844376659952,1.57537756743841,0.123591619704267,1.97005041987635,1.96673811529763,0.125117379243279,0.072465244140476,0.064454326871783,0.017716541114873,0.096118865348399,0.098460860550404,0.006594307942406,0.266128440657631,0.265845064306631,0.008763237949239
18,cnf/Smarch/toybox_0_7_5.dimacs,316,22.7579418632109,22.6190984905697,0.611773299717174,2.27567298840731,2.27473346050829,0.027801844438723,2.55043818773236,2.54774835100397,0.19084180142138,0.042213212400675,0.040741436183453,0.003802529128956,0.273926596296951,0.273769612424075,0.004532407725392,0.373085753694177,0.370933294529095,0.009108638565249,0.041607665270567,0.034698402043432,0.012805170420681,0.048328992202878,0.048752334900201,0.002603596364543,0.088570432914421,0.086396133061499,0.00684500669024
19,cnf/KConfig/uClinux-base.dimacs,380,46.1530681393808,47.0778061843012,2.25535984339108,5.13125019803643,5.10818116087467,0.099764261062669,5.29182686480694,5.28777957410785,0.058035338143222,0.180764099992812,0.180195084773004,0.00535641957715,2.02714560752735,2.05697952932678,0.266430042722726,2.45382263819687,2.48677260987461,0.265419594458526,0.076302644032985,0.069573898101226,0.015214413454499,0.135851577073336,0.136452914215624,0.007095776417619,0.447215088726953,0.450728998985142,0.015076442382438
20,cnf/confidential/automotive03/automotive03.dimacs,384,31.5661512862146,30.1583233110141,2.6446451292143,3.42575729575008,3.41182219889015,0.060050400840686,3.63861085485201,3.61823180341162,0.19002621600192,0.079014613926411,0.078026338480413,0.004917813751493,2.2071545509249,2.23747439146973,0.123072118862885,2.33340227083303,2.36252903798595,0.122389873633993,0.049092574249953,0.044859190471471,0.016633656670489,0.05650165066123,0.055701849982143,0.004821380413088,0.18881524217315,0.189725765958429,0.007138461855357
21,cnf/confidential/automotive06/automotive06.dimacs,449,48.3583539605513,50.6246759565547,3.62684286220151,4.7632947873231,4.76390940253623,0.062022524420068,4.92686092891265,4.89309818728361,0.120619937565604,0.097383153364062,0.092923293821514,0.010653145360993,2.61742178626359,2.61331822024658,0.170192906533095,2.81650470850058,2.81077136215754,0.16957471287985,0.079221768798307,0.079904870595783,0.004389978717332,0.064946188554168,0.0649918820709,0.003029698308586,0.383564682845026,0.381044824607671,0.009974113510575
22,cnf/confidential/automotive04/04latest.dimacs,531,75.0586315879412,77.2458055168391,4.48003942970521,7.5143483352568,7.51342474040576,0.098257440823477,8.15152968088165,8.0449594623642,0.823801037419501,0.327631024047732,0.327006463892758,0.005578226535438,3.22558761897497,3.23199669737369,0.387010602803274,4.11115094014443,4.12039693305269,0.390517846082774,0.07192205907777,0.068914111936465,0.010650219553492,0.17482366733253,0.172340895049274,0.010312522161094,0.850773811731487,0.849102156236769,0.010263372979056
23,cnf/Smarch/toybox.dimacs,544,17.6226339947525,18.1614433280193,0.946571180814341,3.10162404743023,3.11254213214852,0.034293911463825,4.59697220620699,4.59658022446092,0.255499475195506,0.046353041604161,0.045787053182721,0.003158114979799,3.02695815336891,3.02307003876194,0.02215707388675,3.14114452901296,3.14255510899238,0.025418698274391,0.061283265920356,0.056533363182098,0.023787475932176,0.051316554918886,0.051302143372596,0.002745131605324,0.074899454936385,0.074469418032095,0.005792469587576
24,cnf/confidential/automotive07/automotive07.dimacs,581,112.108931617653,113.317278864328,3.52970821158949,23.114315208327,23.1015430113766,0.058237603515251,20.1241897099977,20.0460820035078,0.259626181554306,0.724271914511919,0.719061592593789,0.0167583966774,4.25631334588863,4.20035821665078,0.223462855946627,7.73231107993051,7.68733376543969,0.229531489352465,0.345418229727075,0.343599249608815,0.011175519345084,0.278228980898857,0.276182384230197,0.011142508168323,2.94739644443616,2.94695354462601,0.032153588219678
