Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,C2d-avg,C2d-med,C2d-stdev,D4-avg,D4-med,D4-stdev,D4new-avg,D4new-med,D4new-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev
1,cnf/Smarch/LLVM.dimacs,11,0.083963178619743,0.079103496944299,0.009539934598478,0.006576510012383,0.006648103008047,0.000719124001591,0.007306990086799,0.007306990086799,0.00093713650426,1800,1800,0,0.015545006897301,0.015019325073809,0.001913816107654,0.036974575854838,0.036417535506189,0.002440583969959,0.020668923491612,0.017786231124774,0.012068925573206
2,cnf/Smarch/X264.dimacs,16,0.082573841480771,0.078471016982803,0.01058428123957,0.006444211807102,0.006382973399013,0.000774278449263,0.007311854549916,0.007311854549916,0.000983294771169,0.035053343130276,0.035353925311938,0.004860830105602,0.016524334102869,0.016406080918387,0.002398429754732,0.036331370659173,0.035435375757516,0.00206572704332,0.017964884117246,0.013028948567808,0.028389587687154
3,cnf/Smarch/Dune.dimacs,17,300,300,0,0.006648168321699,0.006624827627093,0.000730349657193,0.007167595855426,0.007167595855426,0.001063427206271,0.053491422049701,0.05373720638454,0.007443380265255,0.016375626903027,0.015773015562445,0.002222650372237,0.036692561022937,0.035790095105767,0.002143693478174,0.021606062520295,0.017729178536683,0.00520705742397
4,cnf/Smarch/BerkeleyDBC.dimacs,18,0.091286229174584,0.096361217496452,0.00799033235543,0.006644652467221,0.006642015068792,0.000850398953251,0.007023054468445,0.007023054468445,0.000881016276073,0.067863219985738,0.066384543199092,0.007289677456993,0.016265867333859,0.016054359031841,0.0030193554727,0.0367883483693,0.035497455857694,0.002362609766363,0.01792626532726,0.016671684570611,0.008105874859156
5,cnf/Smarch/lrzip.dimacs,20,0.085192713312572,0.08692986657843,0.010019752530828,0.006330888755619,0.006359725492075,0.000810810031985,0.007214463573182,0.007214463573182,0.000936021979123,0.060889957798645,0.06014115572907,0.007377866529035,0.016860794015229,0.017730954103172,0.002877296199301,0.034436098337174,0.034456481225789,0.004681759496715,0.09565641913563,0.027189929503948,0.051232001114661
6,cnf/Smarch/HiPAcc.dimacs,31,0.088966501933756,0.09468527790159,0.011632857958752,0.006846569444751,0.006831391510787,0.000907213482774,0.007793494397774,0.007793494397774,0.001163687409611,0.232414204636589,0.232205192558467,0.009668122684068,0.018372822357342,0.017722769407556,0.002177427280427,0.038457709699869,0.039399017579854,0.002744761127101,0.020604530749843,0.017647708998993,0.006343613707061
7,cnf/Smarch/JavaGC.dimacs,39,0.083681016593473,0.078690080496017,0.009983852684329,0.006665102331899,0.006655675533694,0.000895263878986,0.007548288409598,0.007548288409598,0.001022933809459,0.287704268889502,0.287900721654296,0.003861988208362,0.019599137092009,0.019389254041016,0.001857891620862,0.040239052474499,0.040515494532883,0.001785083046031,0.023119094837457,0.019009120063856,0.006378926509941
8,cnf/Smarch/Polly.dimacs,40,0.084281484126114,0.08040240034461,0.010349359594294,0.006527988043381,0.006488403509138,0.000766014237934,0.007456021934049,0.007456021934049,0.001014724979065,0.285691107660532,0.284718374023214,0.005956203555872,0.020159540530294,0.019485402852297,0.002213809190991,0.039780362509191,0.040536912158132,0.001882537756649,0.021263879984617,0.019241804955527,0.00660349413843
9,cnf/Smarch/VP9.dimacs,42,0.082839374844916,0.079269130015746,0.010287081496822,0.006728135752492,0.006528087484185,0.000880837656726,0.007549246338895,0.007549246338895,0.001091551109478,0.316461677085608,0.315572126535699,0.008239303614822,0.019848405607045,0.019670116482303,0.00209453685412,0.039603998586536,0.040122465230525,0.001904465901652,0.020711197005585,0.018100554356352,0.005909126784846
10,cnf/Smarch/7z.dimacs,44,0.089878160613589,0.091104798862944,0.007549699826446,0.007024195814738,0.006784909637645,0.0010872059341,0.007537725869333,0.007537725869333,0.00117848179023,0.232909667445347,0.238483864581212,0.025377679643722,0.020371553553268,0.020943175535649,0.004166785263739,0.0371163347736,0.03775907959789,0.004194992120752,0.27740297852084,0.017904230393469,0.001511259876327
