Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,D4query-avg,D4query-med,D4query-stdev,Ddknnifec2d-avg,Ddknnifec2d-med,Ddknnifec2d-stdev,Queryc2d-avg,Queryc2d-med,Queryc2d-stdev,Ddknnifedsharp-avg,Ddknnifedsharp-med,Ddknnifedsharp-stdev,Ddnnifed4-avg,Ddnnifed4-med,Ddnnifed4-stdev,Queryd4-avg,Queryd4-med,Queryd4-stdev
1,cnf/Smarch/LLVM.dimacs,11,12.893961019679,11.9946610981133,1.33246726357198,1.33406611608807,1.32808357127943,0.025694223266232,1.45407376184128,1.44407823338406,0.038094055008638,0.042356374934316,0.042329034768045,0.001335440662076,1800,1800,0,1800,1800,0,0.03311175535433,0.030116722220555,0.013215871039149,0.045611445643008,0.044999782927335,0.002423050513234,0.024826199803502,0.024463231209666,0.002347836272224
2,cnf/Smarch/X264.dimacs,16,12.9472277741367,11.9714582517045,1.37095559086331,1.33667483087629,1.32891689555254,0.039290177080446,1.45320059319492,1.44702847918962,0.041868377303482,0.042384837307036,0.042321019805968,0.001029285024797,0.044508169405162,0.044491148786619,0.004872132812691,0.046180846793577,0.046128171961755,0.005124382416751,0.030785479461774,0.026457835454494,0.011146729824208,0.04547356273979,0.044759254902602,0.002188649510826,0.02646767818369,0.026069916784764,0.00259630286089
3,cnf/Smarch/Dune.dimacs,17,13.1497803065367,12.152429208043,1.43491364813676,1.33603588114027,1.3292114896467,0.027341420883068,1.44095196484122,1.43577134481166,0.03100911168148,0.043382449522615,0.043013875372708,0.001655715701187,0.064384556403384,0.065122925210744,0.007647499624392,0.067034723814577,0.067141338950023,0.007676240159553,0.035394706726074,0.031797146890312,0.013531390732876,0.046945002637804,0.046011391095818,0.00216059672378,0.029375992147252,0.029215045273304,0.002472058848331
4,cnf/Smarch/BerkeleyDBC.dimacs,18,12.3686792425485,11.9511933969334,1.15073620199297,1.33564381094649,1.33352289081086,0.028438836510009,1.44716345354682,1.44343187962658,0.028162418074006,0.043047157898545,0.04277440533042,0.001488416028792,0.078226878950372,0.076383241917938,0.007126168458281,0.079414530042559,0.078249274985865,0.00706526270009,0.030712084202096,0.029811989748851,0.008384278893117,0.046207867152989,0.045763096772134,0.00242001102954,0.027228747541085,0.026979943970219,0.003383333350215
5,cnf/Smarch/lrzip.dimacs,20,11.5746382912807,11.5970258355374,0.071384597274273,1.34340896277688,1.34244817704894,0.030055068163588,1.43794811257161,1.43020268413238,0.03151379403528,0.034404218532145,0.034256082028151,0.0010350876374,0.071666960017756,0.070770904421806,0.007416672364001,0.07353783451952,0.072870759759098,0.007782767694993,0.109113630596548,0.039188861614094,0.428169971037181,0.044298358336091,0.044874869287014,0.004779307867599,0.028798324652016,0.028398523107171,0.004252650641048
6,cnf/Smarch/HiPAcc.dimacs,31,17.7824603019701,16.7573199077742,1.88331082851418,1.79945513516199,1.78762951598037,0.047951070082915,1.93523001373746,1.9312297271099,0.048732611778462,0.044873698763549,0.044823248870671,0.000955930880046,0.24677076453343,0.246109652798623,0.009574066090023,0.261439030990005,0.26115792337805,0.009630838700904,0.038527512690053,0.035430688178167,0.011240542269234,0.052652934677899,0.052964236587286,0.003255375984357,0.040895904535428,0.040601844433695,0.002543450025301
7,cnf/Smarch/JavaGC.dimacs,39,17.4186456485745,16.3726544418605,1.71703826166141,1.78679686449468,1.77414994616993,0.044501587164948,1.93728720656131,1.92961220303551,0.084621251484865,0.045231053084135,0.045139528810978,0.001120634667106,0.299751999275759,0.299620148027316,0.004086322307291,0.308283840706572,0.307969979709014,0.004240598335284,0.038054890753701,0.034526474308222,0.012719757313262,0.051893056146801,0.0523443184793,0.00178353228538,0.038623134847731,0.038792910752818,0.002505239800465
8,cnf/Smarch/Polly.dimacs,40,17.4020397688216,16.3250644865912,1.70802529788273,1.79484838894103,1.78847635968123,0.049257161948716,1.97420012006536,1.91350663779303,0.153262626311285,0.045542110912502,0.045425584539771,0.000737598561183,0.296742912260815,0.295771676814184,0.006399196133657,0.30543022301048,0.304234951501712,0.00584422381104,0.035898366812617,0.034066141350195,0.011376343745515,0.051182408556342,0.051540097221733,0.001977476717641,0.039868367286399,0.040013588732109,0.002854092888711
9,cnf/Smarch/VP9.dimacs,42,17.0712393448828,16.1612624479458,1.60333246493964,1.79239373967983,1.78571266646031,0.040012973216578,1.92052386643598,1.91439505532616,0.056216367096829,0.045211849585176,0.045027147047222,0.000830337246882,0.328213462317362,0.326729807071388,0.008347939577729,0.337509322278202,0.336159429512918,0.008581225485989,0.035711858822033,0.0326145098079,0.014601279842198,0.051315197125078,0.05184134002775,0.002016121359014,0.039271109886468,0.039305162383243,0.002860295618985
10,cnf/Smarch/7z.dimacs,44,18.2805475057289,18.1189919628669,1.78187007145757,1.80200339757372,1.79208394698798,0.053595885030183,1.9139338289923,1.91877745330567,0.02555943581606,0.044563704244793,0.044386081397534,0.001744065640921,0.246239723172039,0.25156038464047,0.025349222730508,0.255531222932041,0.260832712054253,0.02527211554863,0.293403101591394,0.033997780177742,1.76104575319933,0.050043953321874,0.051134334877133,0.00423146430757,0.040852291472256,0.040559502318502,0.00438390736061
