Model,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev
cnf/CDL/am31_sim.dimacs,0.679291820717626,0.679291820717626,0.017622978246447
cnf/CDL/ea2468.dimacs,2.52953749471111,2.52953749471111,0.0407091332074
cnf/CDL/p2106.dimacs,1.26121633073722,1.26121633073722,0.015940884662047
cnf/KConfig/axTLS.dimacs,0.007087256622035,0.007087256622035,0.000984767259837
cnf/KConfig/busybox-1.18.0.dimacs,0.010755934984773,0.010755934984773,0.001813413413448
cnf/KConfig/embtoolkit.dimacs,0.039792973479489,0.039792973479489,0.002707796212818
cnf/KConfig/linux-2.6.33.3.dimacs,300,300,0
cnf/KConfig/uClibc.dimacs,0.010682203405304,0.010682203405304,0.00162740030033
cnf/KConfig/uClinux-base.dimacs,0.014554136913503,0.014554136913503,0.001382518929578
cnf/KConfig/uClinux-distribution.dimacs,0.013386955313618,0.013386955313618,0.001971456925382
cnf/Smarch/2.6.28.6-icse11.dimacs,300,300,0
cnf/Smarch/2.6.32-2var.dimacs,300,300,0
cnf/Smarch/2.6.33.3-2var.dimacs,300,300,0
cnf/Smarch/7z.dimacs,0.007537725869333,0.007537725869333,0.00117848179023
cnf/Smarch/BerkeleyDBC.dimacs,0.007023054468445,0.007023054468445,0.000881016276073
cnf/Smarch/Dune.dimacs,0.007167595855426,0.007167595855426,0.001063427206271
cnf/Smarch/HiPAcc.dimacs,0.007793494397774,0.007793494397774,0.001163687409611
cnf/Smarch/JHipster.dimacs,0.007672850554809,0.007672850554809,0.001044157006327
cnf/Smarch/JavaGC.dimacs,0.007548288409598,0.007548288409598,0.001022933809459
cnf/Smarch/LLVM.dimacs,0.007306990086799,0.007306990086799,0.00093713650426
cnf/Smarch/Polly.dimacs,0.007456021934049,0.007456021934049,0.001014724979065
cnf/Smarch/VP9.dimacs,0.007549246338895,0.007549246338895,0.001091551109478
cnf/Smarch/X264.dimacs,0.007311854549916,0.007311854549916,0.000983294771169
cnf/Smarch/adderII.dimacs,3.63615152195445,3.63615152195445,0.178663958203268
cnf/Smarch/at91sam7sek.dimacs,2.61601501842844,2.61601501842844,0.144880523559794
cnf/Smarch/axTLS.dimacs,0.012926275894279,0.012926275894279,0.002103654599549
cnf/Smarch/axtls_2_1_4.dimacs,0.008154386237729,0.008154386237729,0.001221652445512
cnf/Smarch/buildroot.dimacs,300,300,0
cnf/Smarch/busybox-1.18.0.dimacs,0.053321041013114,0.053321041013114,0.003237064746088
cnf/Smarch/busybox_1_28_0.dimacs,0.380688256463036,0.380688256463036,0.017902380101615
cnf/Smarch/ecos-icse11.dimacs,11.572255087872,11.572255087872,0.376257514567183
cnf/Smarch/embtoolkit.dimacs,9.30789150899276,9.30789150899276,0.500661007579747
cnf/Smarch/fiasco.dimacs,0.026145402325783,0.026145402325783,0.003143081767396
cnf/Smarch/fiasco_17_10.dimacs,0.01293584459927,0.01293584459927,0.002397060996857
cnf/Smarch/freebsd-icse11.dimacs,46.4202613315417,46.4202613315417,1.62802950738104
cnf/Smarch/freetz.dimacs,300,300,0
cnf/Smarch/integrator_arm9.dimacs,5.7106746626494,5.7106746626494,0.265679744187153
cnf/Smarch/lrzip.dimacs,0.007214463573182,0.007214463573182,0.000936021979123
cnf/Smarch/m5272c3.dimacs,3.21218123314786,3.21218123314786,0.123282702254929
cnf/Smarch/olpce2294.dimacs,3.47756204537582,3.47756204537582,0.135614487797467
cnf/Smarch/pati.dimacs,2.29261447699158,2.29261447699158,0.110540906697852
cnf/Smarch/phycore229x.dimacs,3.61768846950261,3.61768846950261,0.17766085145994
cnf/Smarch/ref4955.dimacs,3.12549907222856,3.12549907222856,0.154609775927742
cnf/Smarch/se77x9.dimacs,4.25885412914096,4.25885412914096,0.212587343806967
cnf/Smarch/toybox.dimacs,0.008343357404228,0.008343357404228,0.001202032476737
cnf/Smarch/toybox_0_7_5.dimacs,0.007159917037934,0.007159917037934,0.00124764626875
cnf/Smarch/uClibc-ng_1_0_29.dimacs,0.011309343961766,0.011309343961766,0.001824881441678
cnf/Smarch/uClinux-config.dimacs,0.17778637184063,0.17778637184063,0.015563705876468
cnf/Smarch/uClinux.dimacs,0.01080198378535,0.01080198378535,0.001576289788252
cnf/automotive01/automotive01.dimacs,0.271482603803743,0.271482603803743,0.017380850834717
cnf/automotive02/automotive2_4.dimacs,0.493199897436425,0.493199897436425,0.027898557563525
cnf/featureide_examples/berkeleydb.dimacs,0.007365327440202,0.007365327440202,0.001213242537628
cnf/financial_services/financialServices_2018-05-09.dimacs,0.08107634430984,0.08107634430984,0.009402253222495
cnf/confidential/automotive03/03latest.dimacs,0.024117251829011,0.024117251829011,0.002561691701023
cnf/confidential/automotive03/automotive03.dimacs,0.010352646333631,0.010352646333631,0.000911392706684
cnf/confidential/automotive03/automotive03_sw.dimacs,0.043251962764189,0.043251962764189,0.00244659012908
cnf/confidential/automotive04/04latest.dimacs,0.015373432526831,0.015373432526831,0.002150904952245
cnf/confidential/automotive05/05latest.dimacs,300,300,0
cnf/confidential/automotive06/automotive06.dimacs,0.013562469334575,0.013562469334575,0.001929885629607
cnf/confidential/automotive06/automotive06_sw.dimacs,0.047022430787329,0.047022430787329,0.002165845425237
cnf/confidential/automotive07/automotive07.dimacs,0.046169600677677,0.046169600677677,0.001968722373874
cnf/confidential/automotive07/automotive07_sw.dimacs,1.40672621040256,1.40672621040256,0.069500614762594
